Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
2020,CHN,2.09042940232529,1.91232341215574
2021,CHN,2.17268366386835,1.97533564547094
2022,CHN,2.18413365228023,
1950,IND,0.0467100214802228,
1951,IND,0.0478822003881933,
1952,IND,0.0493363864115737,
1953,IND,0.0491866595661843,
1954,IND,0.0507106804187016,
1955,IND,0.0539498037922156,
1956,IND,0.0546688682373087,
1957,IND,0.0599844713082508,
1958,IND,0.0613437834648453,
1959,IND,0.0635181176297981,
1960,IND,0.0681313230934977,
1961,IND,0.0720089711856676,
1962,IND,0.0774797488454978,
1963,IND,0.0813432550481927,
1964,IND,0.0778431979996572,
1965,IND,0.0838792563790543,
1966,IND,0.0851227714396462,
1967,IND,0.0834252453948114,
1968,IND,0.0890610510477206,
1969,IND,0.0887940097029088,
1970,IND,0.0889626476416247,
1971,IND,0.091915633325889,
1972,IND,0.0950757388062505,
1973,IND,0.0957334466368899,
1974,IND,0.0966209175849037,
1975,IND,0.102516794146896,
1976,IND,0.104789797362664,
1977,IND,0.108453103690644,
1978,IND,0.107794940379135,
1979,IND,0.110686829641357,
1980,IND,0.114254063751314,
1981,IND,0.120586463187679,
1982,IND,0.121788681379768,
1983,IND,0.128882700161919,
1984,IND,0.129347897527494,
1985,IND,0.139076235675754,
1986,IND,0.145825139589387,
1987,IND,0.152350611806277,
1988,IND,0.160957999407956,
1989,IND,0.173187092407558,
1990,IND,0.181227664336053,0.180424363817931
1991,IND,0.188931340588927,0.18322707702292
1992,IND,0.197106096225917,0.194433888997605
1993,IND,0.19954893144055,0.192076574085985
1994,IND,0.206171830471041,0.197317252549825
1995,IND,0.215238059899011,0.203556403488725
1996,IND,0.228609362995572,0.213261436079607
1997,IND,0.233627784869302,0.218939917152845
1998,IND,0.23400503653023,0.219022743651268
1999,IND,0.249307968617625,0.237808698293351
2000,IND,0.251777720313615,0.233914319142892
2001,IND,0.250665812193195,0.231277270156803
2002,IND,0.253878923521137,0.230814231520076
2003,IND,0.25869699054722,0.239815533951625
2004,IND,0.270243191954891,0.248855084250419
2005,IND,0.280261733338174,0.259156293460806
2006,IND,0.30088727265801,0.274441223826999
2007,IND,0.319453125214079,0.297395655529494
2008,IND,0.336864294127364,0.312331316265895
2009,IND,0.359595403009547,0.340196485703628
2010,IND,0.369001700992077,0.347074764804661
2011,IND,0.382973417599722,0.353977341972256
