Year,Country,Population,Deforestation,Harvest,PerCap-Territorial,PerCap-Consumption,Total-Territorial,Total-Consumption,Population-Increase,Deforestation-Increase,Harvest-Increase,PerCap-Territorial-Increase,Total-Territorial-Increase
2013,AFG,31541.209,0.1534266666666666,0.10768,0.0800445699756477,,2524.702510917029,,321.647930521929,-85.15446095095568,137.52941176470603,2503.349060715697,10876.967438769816
2014,AFG,32716.21,0.14522,0.1077033333333333,0.0765007221795953,,2502.813691979298,,337.3555319652091,-85.94853666875238,137.58088235294127,2388.0898640708874,10781.79866077968
2015,AFG,33753.499,0.1438166666666666,0.1042533333333333,0.0791693192845373,,2672.2415393013107,,351.222177349765,-86.08432297143005,129.9705882352942,2474.8826317588514,11518.441475223222
2016,AFG,34636.207,0.14296,0.0984633333333333,0.0714506991885669,,2474.7812073899354,,363.02235918347816,-86.16721389729265,117.19852941176478,2223.844211751358,10659.91829299984
2017,AFG,35643.418,0.1362366666666666,0.0988966666666666,0.0755601772071731,,2693.2229803493433,,376.486917049631,-86.81776252556074,118.15441176470588,2357.4998206580594,11609.6651319538
2018,AFG,36686.784,0.1329033333333333,0.0940699999999999,0.080479228629907,,2952.524077232014,,390.4348007428954,-87.14029531101838,107.50735294117639,2517.4857872874327,12737.06120535673
2019,AFG,37769.499,0.12713,0.0987266666666666,0.0800767813645004,,3024.459913669717,,404.90870816651545,-87.69892209543102,117.7794117647059,2504.396695663821,13049.825711607613
2020,AFG,38972.23,0.12085,0.1020133333333333,0.0832531128397919,,3244.5594618083237,,420.9870086883683,-88.3065738632332,125.02941176470597,2607.702885768129,14006.780268732002
2021,AFG,40099.462,0.1194933333333333,0.08968,0.0840936174511822,,3372.1088174262172,,436.0560264935543,-88.43784470691446,97.82352941176484,2635.039242141282,14561.342684461979
2022,AFG,41128.771,0.1177833333333333,0.0888266666666666,0.081096910043972,,3335.4162420061243,,449.8159939608,-88.60330402585423,95.94117647058822,2537.5750991497725,14401.80974785288
1950,AGO,4478.184,25.435803333333336,0.2564566666666666,0.0113885449994909,,51.000000000000156,,0.0,0.0,0.0,0.0,0.0
1951,AGO,4569.738,24.577376666666662,0.2692466666666667,0.0148805029960142,,67.99999999999994,,2.0444448017321326,-3.3748753889039356,4.987197317285603,30.662020448436568,33.33333333333282
1952,AGO,4663.958,24.0903,0.2806133333333333,0.0182248639460304,,85.00000000000004,,4.148422664187077,-5.289800820130063,9.419395089488823,60.028027696646966,66.66666666666625
1953,AGO,4758.724,24.02929333333333,0.2933733333333333,0.0157537102498733,,74.96755905511807,,6.264592968935621,-5.529646465526759,14.394894524091159,38.32943761101646,46.9952138335644
1954,AGO,4850.458,23.88598333333333,0.3058433333333333,0.0195758514912284,,94.95184547244071,,8.313057257138148,-6.093064880592883,19.257314426088893,71.89071555763704,86.18008916164787
1955,AGO,4938.118,23.913376666666665,0.3178433333333333,0.0228667880430956,,112.91889763779517,,10.270547168227125,-5.985368917645107,23.93646749938263,100.78761636467001,121.40960321136241
1956,AGO,5022.109,23.659736666666664,0.3300599999999999,0.0272599971775512,,136.9026771653545,,12.146106546760922,-6.982545993894979,28.700105280944143,139.36330039324426,168.43662189285112
1957,AGO,5104.328,23.43887666666667,0.34169,0.0330805574696672,,168.85401574803143,,13.98209631404159,-7.850849609494019,33.23498446781135,190.4722022975366,231.0863053882959
1958,AGO,5185.839,23.337613333333334,0.3535299999999999,0.031202947983331,,161.81346456692927,,15.802276101205305,-8.24896297751425,37.85174883346114,173.98537727800928,217.28130307240937
1959,AGO,5269.947,23.43881333333333,0.3659633333333333,0.0320363155529591,,168.82968503937013,,17.680448145944872,-7.851098602350705,42.69987132329051,181.30297201610225,231.038598116411
1960,AGO,5357.195,24.01860333333333,0.3788666666666667,0.0279666423243824,,149.82275642696976,,19.628737899112664,-5.57167383875303,47.731260641823866,145.56817684465037,193.77011064111628
1961,AGO,5441.333,18.052656666666667,0.3800933333333333,0.0227569789176464,,123.82830036489364,,21.507579858263963,-29.02659125765113,48.20957406709387,99.82340956341395,142.8005889507711
1962,AGO,5521.4,15.259583333333332,0.3869466666666667,0.0582848629108577,,321.8140420760097,,23.295514431742852,-40.007464543744845,50.881890377841664,411.7849814305796,531.0079256392327
1963,AGO,5599.827,14.375853333333334,0.4019833333333333,0.056035505000113,,313.7891338582678,,25.04682701738026,-43.48181913132683,56.7451291316272,392.0339253400495,515.2728114867978
