Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1972,ALB,0.626738122296013,
1973,ALB,0.572439178397127,
1974,ALB,0.458299176581091,
1975,ALB,0.472826921874601,
1976,ALB,0.497581689423712,
1977,ALB,0.562351522734491,
1978,ALB,0.625284711930651,
1979,ALB,0.716521588113455,
1980,ALB,0.479749138412387,
1981,ALB,0.669422297188428,
1982,ALB,0.655809518050823,
1983,ALB,0.674450928736887,
1984,ALB,0.682017051641936,
1985,ALB,0.678203645547158,
1986,ALB,0.685740299522614,
1987,ALB,0.627765166786438,
1988,ALB,0.613031517780142,
1989,ALB,0.747233716668108,
1990,ALB,0.457263836331546,0.460217419892103
1991,ALB,0.35459853195376,0.381343195870786
1992,ALB,0.207941918238776,0.240879613136952
1993,ALB,0.193322010336463,0.221008087691632
1994,ALB,0.159397814615208,0.196573077775025
1995,ALB,0.173598187306073,0.211591782780005
1996,ALB,0.168319834240113,0.25246452289078
1997,ALB,0.12942942257479,0.18621159926453
1998,ALB,0.148168130790417,0.214142391864323
1999,ALB,0.254034827373215,0.321776223126809
2000,ALB,0.259451531602638,0.349537815291812
2001,ALB,0.278728010928421,0.388174865502641
2002,ALB,0.327511860699569,0.445893979553954
2003,ALB,0.379741123609318,0.521172826209882
2004,ALB,0.372205510211679,0.488571312554516
2005,ALB,0.383511300596477,0.519207522736914
2006,ALB,0.355377070716727,0.516438322883631
2007,ALB,0.362145539941263,0.546201320028853
2008,ALB,0.406569374523007,0.604937882036414
2009,ALB,0.410388925475672,0.643966790445611
2010,ALB,0.448150085490189,0.619634535330842
2011,ALB,0.500063781731163,0.672289184054888
2012,ALB,0.457682572317176,0.645889144599887
2013,ALB,0.499854016034231,0.621801564063351
2014,ALB,0.567753565756311,0.616285366058844
2015,ALB,0.446166172449413,0.559869966269723
2016,ALB,0.438791648902668,0.551568706961211
2017,ALB,0.501712739872278,0.563065137482725
2018,ALB,0.464356210444675,0.563877675337677
2019,ALB,0.458403251120399,0.553885129408082
2020,ALB,0.477804363679723,0.573241225454184
2021,ALB,0.471491925468177,0.56961087662322
2022,ALB,0.478553191517162,
1950,DZA,0.114485420249735,
1951,DZA,0.121606732418181,
1952,DZA,0.111478465132541,
1953,DZA,0.111693290502899,
1954,DZA,0.11319636794577,
1955,DZA,0.122751269859597,
1956,DZA,0.13016870518793,
1957,DZA,0.141191989899762,
1958,DZA,0.130153231748007,
1959,DZA,0.138291329830905,
1960,DZA,0.147339555269509,
1961,DZA,0.142501291618508,
1962,DZA,0.131176889095171,
1963,DZA,0.123566801155169,
1964,DZA,0.126456990350798,
1965,DZA,0.145234086958639,
